LinkID,Node1,Node2,Capacity,Distance,MaxSpeed,NumLane,RoadWidth,RoadType,RoadName
17536,23562,23563,2000.0,0.017,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17537,23563,23562,2000.0,0.017,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17538,23563,23564,2000.0,0.026,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17539,23564,23563,2000.0,0.026,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17540,23564,23565,2000.0,0.023,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17541,23565,23564,2000.0,0.023,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17542,23565,23566,2000.0,0.165,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17543,23566,23565,2000.0,0.165,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17544,23566,23567,2000.0,0.028,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17545,23567,23566,2000.0,0.028,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17546,23567,23568,2000.0,0.069,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
17547,23568,23567,2000.0,0.069,45.0,2,4.0,secondary,Jalan Arief Rahman Hakim
