osmid,y,x,street_count,highway,geometry
5608527907,-7.3387534,112.7299112,3,,POINT (112.7299112 -7.3387534)
5608527908,-7.3378909,112.7305935,1,,POINT (112.7305935 -7.3378909)
5608527909,-7.3374613,112.7306723,3,,POINT (112.7306723 -7.3374613)
5608527911,-7.3409874,112.7340549,2,,POINT (112.7340549 -7.3409874)
5608527912,-7.340875,112.7339839,2,,POINT (112.7339839 -7.340875)
5608702818,-7.3401242,112.7352243,1,,POINT (112.7352243 -7.3401242)
5608702819,-7.3397063,112.7352759,3,,POINT (112.7352759 -7.3397063)
5608702820,-7.341554,112.7346946,1,,POINT (112.7346946 -7.341554)
5608705121,-7.34134,112.7348044,3,,POINT (112.7348044 -7.34134)
5608705122,-7.3418293,112.7352163,1,,POINT (112.7352163 -7.3418293)
5608705124,-7.3393672,112.7391181,3,,POINT (112.7391181 -7.3393672)
5608705127,-7.3378553,112.7352771,1,,POINT (112.7352771 -7.3378553)
5608705128,-7.3375995,112.7352743,3,,POINT (112.7352743 -7.3375995)
5608705129,-7.3399342,112.736416,3,,POINT (112.736416 -7.3399342)
5608705130,-7.3400191,112.7363951,2,,POINT (112.7363951 -7.3400191)
5608705131,-7.3399983,112.7358507,3,,POINT (112.7358507 -7.3399983)
5608705133,-7.3390043,112.7373704,2,,POINT (112.7373704 -7.3390043)
5608705134,-7.3386822,112.7359043,1,,POINT (112.7359043 -7.3386822)
5608705138,-7.339985,112.7367221,3,,POINT (112.7367221 -7.339985)
5608705139,-7.3399383,112.7367184,2,,POINT (112.7367184 -7.3399383)
5608705140,-7.3395734,112.735915,2,,POINT (112.735915 -7.3395734)
5608705141,-7.3387675,112.7358318,1,,POINT (112.7358318 -7.3387675)
5608705142,-7.3391491,112.7357621,2,,POINT (112.7357621 -7.3391491)
5608705143,-7.3395589,112.7356964,2,,POINT (112.7356964 -7.3395589)
5608705145,-7.3395482,112.7408155,2,,POINT (112.7408155 -7.3395482)
5608705146,-7.3400139,112.7410636,2,,POINT (112.7410636 -7.3400139)
5608705147,-7.3383259,112.7367287,1,,POINT (112.7367287 -7.3383259)
5608705148,-7.3391675,112.7372244,2,,POINT (112.7372244 -7.3391675)
5608705149,-7.3396134,112.7371529,2,,POINT (112.7371529 -7.3396134)
5608705150,-7.3397358,112.7370777,3,,POINT (112.7370777 -7.3397358)
5608705151,-7.3393013,112.7349966,3,,POINT (112.7349966 -7.3393013)
5608705152,-7.3392104,112.7347215,2,,POINT (112.7347215 -7.3392104)
5608705153,-7.3393082,112.7346698,2,,POINT (112.7346698 -7.3393082)
