u,v,key,osmid,name,highway,oneway,reversed,length,travel_time,regulated_max_speed,computed_max_speed,capacity,lanes,width,access,bridge,service,geometry
6722956541,6722956540,0,715312676,,service,False,False,19.866,2.4,30,25.0,2000.0,2,4,,,,"LINESTRING (112.736261 -7.3336014, 112.7364367 -7.333562)"
6722956541,6722956542,0,715312676,,service,False,True,21.985,2.6,30,25.0,2000.0,2,4,,,,"LINESTRING (112.736261 -7.3336014, 112.7360679 -7.3336505)"
6722956542,6722956541,0,715312676,,service,False,False,21.985,2.6,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7360679 -7.3336505, 112.736261 -7.3336014)"
6722956543,6722956547,0,587072759,,service,False,False,1.061,0.1,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7363046 -7.3338719, 112.7362966 -7.3338772)"
6722956543,6722956548,0,587072759,,service,False,True,1.127,0.1,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7363046 -7.3338719, 112.73631 -7.3338633)"
6722956544,6722956548,0,587072759,,service,False,False,1.138,0.1,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7363133 -7.3338536, 112.73631 -7.3338633)"
6722956544,6722956545,0,587072759,,service,False,True,1.491,0.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7363133 -7.3338536, 112.736315 -7.3338403)"
6722956545,6722956544,0,587072759,,service,False,False,1.491,0.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.736315 -7.3338403, 112.7363133 -7.3338536)"
6722956545,5608388592,0,587072759,,service,False,True,1.631,0.2,30,25.0,2000.0,2,4,,,,"LINESTRING (112.736315 -7.3338403, 112.7363113 -7.3338261)"
6722956546,6725739264,0,587072759,,service,False,True,12.638,1.5,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7361558 -7.3339284, 112.7362634 -7.3338893)"
6722956547,6725739264,0,587072759,,service,False,False,3.901,0.5,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7362966 -7.3338772, 112.7362634 -7.3338893)"
6722956547,6722956543,0,587072759,,service,False,True,1.061,0.1,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7362966 -7.3338772, 112.7363046 -7.3338719)"
6722956548,6722956543,0,587072759,,service,False,False,1.127,0.1,30,25.0,2000.0,2,4,,,,"LINESTRING (112.73631 -7.3338633, 112.7363046 -7.3338719)"
6722956548,6722956544,0,587072759,,service,False,True,1.138,0.1,30,25.0,2000.0,2,4,,,,"LINESTRING (112.73631 -7.3338633, 112.7363133 -7.3338536)"
6722956550,5608342967,0,715312677,,residential,False,False,52.13,6.3,30,25.0,2000.0,2,4,,,,"LINESTRING (112.734413 -7.3337821, 112.7342474 -7.3342212)"
6722956551,6722956552,0,469305813,,residential,False,False,4.622,0.6,30,20.0,1500.0,1,3,,,,"LINESTRING (112.7341368 -7.3341675, 112.7341737 -7.3341872)"
6722956551,5639045736,0,469305813,,residential,False,True,2.467,0.3,30,20.0,1500.0,1,3,,,,"LINESTRING (112.7341368 -7.3341675, 112.7341172 -7.3341568)"
6722956552,5608342967,0,469305813,,residential,False,False,8.964,1.1,30,20.0,1500.0,1,3,,,,"LINESTRING (112.7341737 -7.3341872, 112.7342474 -7.3342212)"
6722956552,6722956551,0,469305813,,residential,False,True,4.622,0.6,30,20.0,1500.0,1,3,,,,"LINESTRING (112.7341737 -7.3341872, 112.7341368 -7.3341675)"
6722956557,1719578878,0,715312678,,service,False,False,6.459,0.8,30,25.0,2000.0,2,4,,,,"LINESTRING (112.7340787 -7.333126, 112.7340241 -7.333105)"
